course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,language,rating
381330,Live Account - ETF Trading System - Hacking The Stock Market,Paid,150,2318,19,16,All Levels,5.0,2014-12-31,Business Finance,English,4.4
545918,Stock Market Leverage: How to Start Trading Options Wisely,Paid,95,2153,14,13,Beginner,1.5,2015-07-27,Business Finance,English,3.7
191854,Stock Market Foundations,Free,0,19339,794,9,Beginner,2.0,2014-03-31,Business Finance,English,4.6
471546,Crash Course on Working Capital Management,Paid,20,3177,8,8,All Levels,1.0,2015-04-16,Business Finance,English,4.234613666815543
866584,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,Paid,150,1535,16,462,All Levels,62.0,2016-06-03,Business Finance,English,4.3
889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,Paid,20,1027,29,25,All Levels,1.5,2016-07-18,Business Finance,English,4.0
1191504,How to create a routine Trading,Paid,25,307,8,5,All Levels,0.1333333333333333,2017-05-01,Business Finance,English,4.234613666815543
585752,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",Paid,150,2096,48,29,All Levels,0.6833333333333333,2015-08-24,Business Finance,English,4.234613666815543
671578,Forex SOS Course: Trading Tweaks And Working Forex Strategy,Paid,50,1315,48,59,Beginner,2.5,2015-11-18,Business Finance,English,4.2
151668,Introduction to Financial Modeling,Free,0,29167,1463,8,Intermediate,1.5,2014-05-27,Business Finance,English,4.1
1105344,Quantitative Aptitude for Banking & Competitive Examinations,Paid,50,1056,1,42,All Levels,3.0,2017-02-09,Business Finance,English,4.234613666815543
44836,Option Spreads and Credit Spreads Bundle,Paid,180,2212,194,24,Expert,4.5,2013-03-05,Business Finance,English,4.4
840300,B Com Accountancy I (Paper ECO 02 IGNOU),Paid,50,2946,6,284,All Levels,31.5,2016-05-05,Business Finance,English,4.234613666815543
1100054,FOREX TRADING - Learn in a quick + profitable way + support,Paid,100,271,48,47,All Levels,3.5,2017-02-20,Business Finance,English,4.1
421054,Auditing Basics (Professional Course Level),Paid,25,3771,10,35,All Levels,2.5,2015-02-13,Business Finance,English,4.6
